authors,publicationDate,journal,volume,issue,pages,description
"Christian Ebere Enyoh, Andrew Wirnkor Verla, Evelyn Ngozi Verla, Francis Chizoruo Ibe, Collins Emeka Amaobi",2019/11,Environmental monitoring and assessment,191,1-17,Springer International Publishing,"Microplastics (of size < 5 mm) pollution in our environment is of current concern by researchers, public media and non-governmental organizations. Implications by their presence in aquatic and soil ecosystems have been well studied and documented, but less attention has been paid on airborne microplastics (MPs). Studies concerning airborne microplastics started from 2016 and only a few (n = 13) have been published to date. Although, studies may increase in the following years, since air is very important for human survival. Microplastics have been observed in atmospheric fallouts in indoor and outdoor environments using a sampling or vacuum pump, rain sampler, and/or particulate fallout collector. Identification and quantification have been carried out by visual, spectroscopic, and spectrometric techniques. Factors such as meteorological, climatic, and anthropogenic influence the distribution and …"
"Andrew Wirnkor Verla, Christian Ebere Enyoh, Evelyn Ngozi Verla, Kieran Oharley Nwarnorh",2019/11,SN Applied Sciences,1,11,1-30,Springer International Publishing
FM Awah and AW Verla,2010/12,Journal of medicinal plants research,4,24,2479- 2487,Academic Publishers
"Christian Ebere Enyoh, Leila Shafea, Andrew Wirnkor Verla, Evelyn Ngozi Verla, Wang Qingyue, Tanzin Chowdhury, Marcel Paredes",2020/3,"Environmental Analysis, Health and Toxicology",35,1,Korean Society of Environmental Health and Toxicology & Korea Society for Environmental Analysis,"Microplastics (MPs) are now ubiquitous in global ecosystem, therefore all biota is at risk of exposure and potential toxicity. In this study, we presented an overview of information based on literature concerning exposure to MPs and the toxicity of such exposure. Currently, four major routes of exposure have been identified including entanglement, contact, ingestion and inhalation. Humans maybe the most exposed organism because they are at the peak of the food chain. Toxicology effect to marine and freshwater organisms are classified based on exposure dosage as either high (mortality, decreased reproductive output, organ damage) or low (changes in behavior with time). On plants, reports have shown that MPs exposure can affect negatively the growth and depending on exposure concentration and types of MPs and oxidative activities. However, effects on plants maybe short-term and transient. Although, toxicity …"
"CE Enyoh, AW Verla, NJ Egejuru",2018,J Environ Anal Chem,5,2,1-9,"Inhabitants of Orji are still pending on borehole water for drinking water without any treatment. The storage of this water in household containers for a long time as well as the handling might lead to a quality deteriorated and become unsuitable for human consumption. The study therefore evaluated the effect of long storage on pH values as well as determined the total concentrations of Ni, Cd, Cu, Pb and Fe in 10 borehole water samples from Orji. The pH was determined using Jenway 3510 pH meter while Perkins Elmer Analyst Atomic Absorption Spectrophometer was used for heavy metals determination after acid digestion. The results obtained were compared to National Agency for Food Drugs and Control (NAFDAC) and Standard Organization of Nigeria (SON) standard and were chemometrically assessed. The mean concentrations of the studied metals were below standard. pH continually increased with storage but did not exceed the standard range of (6.3/6.5-8.5) set by SON/NAFDAC over 12 weeks. Chemometric assessment such as linear regression analysis revealed positive association between pH values and metal concentration. The association were in the order of significant pH/Fe (0.202)> pH/Cd (0.169)> pH/Ni (0.161)> pH/Pb (0.123) respectively. Spearman’s correlation revealed similar source (s) of contamination of the studied metals except for Fe. Coefficient of Variation (CV) showed low variability (< 20). Contamination Factor (CF) showed low contamination (< 1), except for Cadmium which showed moderate to considerable contamination. Pollution Load Index (PLI) showed no pollution (< 1) while mean WQI revealed “poor …"
"Enyoh Christian Ebere, Verla Andrew Wirnkor, Verla Evelyn Ngozi",2019,World Scientific News,131,256-267,Przedsiębiorstwo Wydawnictw Naukowych Darwin/Scientific Publishing House DARWIN,"Microplastic (MP, 1 μm − 5 mm) pollution has become a global environmental concern with potential risk to ecosystem and human health. Information on the accumulation of MPs in aquatic species has been well documented, while information on the uptake and accumulation of MPs by higher plants is still very scarce. Terrestrial edible plants are directly exposed to MPs when soil was applied with sludge, organic fertilizer, plastic mulching, waste water irrigation, plastic littering, surface runoff or from atmospheric deposition of airborne MP. One study using fluorescent marker recently showed that plant can accumulate MP through uptake from MP polluted soil. Thus, potentially contaminating the base of the food-web and also indicating new exposure route to MP ingestion. This review present a discuss of the implication of these findings to human, who may be ingesting an estimated 80 g of MP through eating of plant daily as global consumption rate of plant continually increase. Also, benefit for the terrestrial ecosystem is discussed, by which plant acts as a potential remediator of MP polluted soil either by phytoextraction, phytostabilization and phytofilteration. We conclude by pointing knowledge gap and suggesting key future areas of research for scientists and policymakers."
"Enyoh Christian Ebere, Verla Andrew Wirnkor, Verla Evelyn Ngozi, Ihenetu Stanley Chukwuemeka",2019/12,"Environmental analysis, health and toxicology",34,4,Korean Society of Environmental Health and Toxicology & Korea Society for Environmental Analysis,"The abundance, distribution and composition of marine debris (> 5 cm) and small microplastics (11 μm) from five rivers in South Eastern Nigeria was investigated. This study provided the first assessment of the type and quantity of marine litter and microplastics in Nigeria. A total of 3,487 macrodebris items/m 2 were counted with the following distribution: plastics (59%), metal (10%), cloth (7%), paper/cardboard (7%), rubber (7%), glass/ceramics (5%), medical and agro-based waste (3%), and wood (2%). The cleanliness of the river assessed with clean coast index ranged from “very clean” to “extremely dirty”. Microplastics abundance ranged from 440 to 1,556 particles/L, with high accumulation at downstream. Fragment shape was most abundant while fiber and film followed. The distribution of plastic types was PET (29%), PE (22%), PVC (16%), PP (14%), and others (6%). Significant relationship was found between …"
AW Verla,2012,Asian journal of natural and applied sciences,1,3,39-50,Leena and Luna International
"VA Wirnkor, EC Ebere, VE Ngozi",2019,Anal. Methods Environ. Chem. J,2,13-30,"Microplastics are ubiquitous tiny plastic particles (< 5 mm) nonbiodegradable and have large surface area in the environment or the body of living things due to anthropogenic activities or fragmentation of plastic debris. Though they have been found in sea food and human body, their health implications are still speculative. Moreover, a major reason for dearth of information on this topical issue is the lack of standard operating protocol for detecting and quantifying microplastics as a result of their presence in more complex environmental matrices. In the present review some methodologies for analyzing microplastics reported in the period 2000 to 2018 have been documented with the aim of assessing which methods is most suitable and in what matrix. The following methods have been studied: CHN analyzers, pyrolysisgas chromatography/mass spectroscopy (PyrGC/MS), optical microscopy, fourier transform infrared microspectroscopy (Micro-FTIR), raman microspectroscopy (RMS) and scanning electron microscopy with energy dispersive x-ray spectroscopy (SEM-EDS), effective for particles< 500 μm. However, the quality of result obtained strongly relies on good sampling and sample purification. Specifically, Micro-Raman spectroscopy is best for particles of< 1 μm while degradation process of plastics is best monitored with SEM-EDS. Generally, studies have been conducted with often a combination of two methods: one separating and the other quantifying which can be problematic moreso in living tissue where there is no harm reported as at the time of this study. Ultimately based on this study, microplastics have become a cause for concern …","Zitiert von: 51
2019
2020
2021
2022
2023"
"Christian Ebere Enyoh, Ezechiel Amarachukwu Ihionu, Andrew Wirnkor Verla, Patricia Ngozi Ebosie",2017,International Letters of Natural Sciences,62,Przedsiębiorstwo Wydawnictw Naukowych Darwin/Scientific Publishing House DARWIN,"This study assessed the quality of palm oil and soil from Ihube community, Okigwe LGA of Imo state in October 2015. The soil samples were collected from the top soil and the palm oil were collected immediately after extraction. Palm oil and soil were analyzed using standard analytical methods and the results obtained were compared to standards. The physicochemical analysis of the soil samples showed that ranges of EC (323.33±0.57-480.33±1.53 us/cm); Moisture Content (MC) ranged from 20.9±0.80 to 40.8±0.10);% SOM (1.92±0.61-4.85±0.01) which were within the acceptable limits while CEC, iron content and lead were not significant. Palm oil samples had MC (0.32±0.09%) which was above the acceptable limit. The oil was acidic and free fatty acid (FFA) result for 10days showed even much acidic ranges from (2.15±0.01 to 6.07±0.05 mgNaOH/g) with Fe,(2.00±0.01 to 5.43±0.51 mgNaOH/g) with Pb and (1.27±0.03 to 5.04±0.03 mgNaOH/g) without contamination. This was tested using anova at p< 0.05 respectively and there was a significant difference between the results. However, the result obtained from these areas shows good quality soil for palm tree cultivation.","Zitiert von: 50
2017
2018
2019
2020
2021
2022
2023"
